Latitude,Longitude,FacilityName,Street,City,County,State,ZIPCode,ParentName,StandardizedParentCompany,NAICS1
43.804705,-92.680721,GREAT RIVER ENERGY PLEASANT VALLEY STATION,68435 310TH ST,DEXTER,MOWER,MN,55926,GREAT RIVER ENERGY,,221112
44.198889,-94.002389,MANKATO ENERGY CENTER,1 FAZIO LN,MANKATO,BLUE EARTH,MN,56001,XCEL ENERGY,SOUTHERN CO,221112
44.315491,-94.457501,NEW ULM PUBLIC UTILITIES POWER PLANT,310 N FIRST ST,NEW ULM,BROWN,MN,56073,NA,,221119
43.667517,-94.705095,INTERSTATE POWER & LIGHT CO FOX LAKE,844 125TH ST PO BOX 367,SHERBURN,MARTIN,MN,56171,ALLIANT ENERGY CORP,,221112
43.7985,-94.8412,LAKEFIELD JUNCTION STATION,2159 20TH AVENUE,TRIMONT,MARTIN,MN,56176,GREAT RIVER ENERGY,GREAT RIVER ENERGY,221112
45.121461,-95.0526,WILLMAR MUNICIPAL UTILITIES,710 BENSON AVE SW,WILLMAR,KANDIYOHI,MN,56201,NA,NA,221112
46.29039,-96.04302,OTTER TAIL POWER CO HOOT LAKE PLANT,1012 WATER PLANT RD,FERGUS FALLS,OTTER TAIL,MN,56537,OTTER TAIL CORP,OTTER TAIL CORP,221112
43.59663,-96.63756,XCEL ENERGY ANGUS ANSON GENERATING PLANT,7100 E RICE ST,SIOUX FALLS,MINNEHAHA,SD,57103,XCEL ENERGY,,221112
45.304735,-96.511118,OTTER TAIL POWER CO BIG STONE PLANT,48450 144TH ST,BIG STONE CITY,GRANT,SD,57216,OTTER TAIL CORP,OTTER TAIL CORP,221112
44.0874,-103.2627,BLACK HILLS CORP - BEN FRENCH POWER PLANT,409 DEADWOOD AVE,RAPID CITY,PENNINGTON,SD,57701,BLACK HILLS CORP,BLACK HILLS CORP,221112
46.92562,-98.50297,GREAT RIVER ENERGY - SPIRITWOOD STATION,3366 93RD AVENUE SE,SPIRITWOOD,STUTSMAN,ND,58481,GREAT RIVER ENERGY,GREAT RIVER ENERGY,221112
47.370445,-101.838042,BASIN ELECTRIC ANTELOPE VALLEY STATION,420 COUNTY RD 26,BEULAH,MERCER,ND,58523,BASIN ELECTRIC,BASIN ELECTRIC POWER COOPERATIVE,221112
47.2217,-101.8139,OTTER TAIL POWER CO COYOTE STATION,6240 13TH ST SW,BEULAH,MERCER,ND,58523,OTTER TAIL CORP,OTTER TAIL CORP,221112
47.0664,-101.2139,MINNKOTA POWER COOPERATIVE INC MILTON R YOUNG STATION,3401 24 ST SW,CENTER,OLIVER,ND,58530,MINNKOTA POWER COOPERATIVE INC,MINNKOTA POWER COOPERATIVE INC,221112
46.8669,-100.8839,RM HESKETT STATION,2025 38TH ST,MANDAN,MORTON,ND,58554,MDU RESOURCES GROUP INC,MDU RESOURCES GROUP INC,221112
47.2862,-101.3321,GREAT RIVER ENERGY STANTON STATION,4001 HWY 200A,STANTON,MERCER,ND,58571,GREAT RIVER ENERGY,GREAT RIVER ENERGY,221112
